sample_id,day_index,group_label,condition,rg_ratio,mean_g,glcm_entropy,coverage_pct,chlorophyll_a_mg_g_fw,carotenoid_mg_g_fw,rgr_g_g_day,is_stressed
control_R01,0,control,control,0.4301894778781525,0.7274859695991341,0.3356546556477734,73.96713382774533,2.423684839142898,0.8436943194752329,0.14753107714920374,0
control_R02,0,control,control,0.42667575732114943,0.7416463514046332,0.3120831412112416,83.94418138003749,2.955867608074224,0.8614037945025126,0.1424719041687926,0
control_R03,0,control,control,0.43680590132185004,0.730812990097981,0.28920374208664734,81.73561716861533,2.538713978211332,0.9447787518439628,0.14934205024177596,0
control_R04,0,control,control,0.43526020958906425,0.7392855464427008,0.2717124677543748,86.65661465423865,2.875843406993064,0.9956151711918173,0.1532157218469966,0
control_R05,0,control,control,0.4093113635876061,0.7446391769030198,0.30644861463604456,84.48723644055306,2.631968704607494,0.7257966905877885,0.16975889181737053,0
control_R06,0,control,control,0.5268878802633975,0.6585684949147558,0.3212842663711012,82.04397446176364,2.6647091186925067,0.9281587568634748,0.1514186931880672,0
control_R07,0,control,control,0.5005354959973204,0.6985551961815863,0.33815226231937795,75.1418408340482,2.5663022036461864,0.8048230036365243,0.1390992620708597,0
control_R08,0,control,control,0.5337413755126524,0.6790707384066174,0.3092070896706932,76.79748433116359,2.7006434781794875,0.8236420858103832,0.16663470058216534,0
control_R09,0,control,control,0.5381164249517105,0.6721366528758626,0.2850212861968287,85.4694570422372,2.5873225075335053,0.7336372940913012,0.13137291662393638,0
control_R10,0,control,control,0.4748580372026882,0.7256970294428225,0.2845242677033884,83.0773630914856,2.8317079382153425,0.8563031354570604,0.15535980190419643,0
control_R11,0,control,control,0.4551747124489639,0.6786881394857895,0.27683831670283926,76.93975092968857,2.759618861948849,0.7960247988840513,0.15100236950036416,0
control_R12,0,control,control,0.5115564251577336,0.7191544979095459,0.2921515654020124,80.34906695086477,2.642828838936269,0.6873697673000138,0.12887814498815697,0
control_R13,0,control,control,0.4001376586199259,0.7359909690689375,0.20472604723199694,83.29826850682275,3.059845659557213,0.7679362426044717,0.1710627335270063,0
control_R14,0,control,control,0.4397281221066185,0.6819991178035767,0.2330483462049719,88.78138661855829,2.45453591536153,0.8390981279191272,0.16356603403498418,0
control_R15,0,control,control,0.37769710728057726,0.7228851803085548,0.22352536454680988,86.04704295109617,2.8043704291046883,0.9441601002188824,0.15640966558790464,0
control_R16,0,control,control,0.4589637817478158,0.7287998673588706,0.31795937876202185,88.75800060661561,2.8713742118299015,0.9316972602097606,0.14216855418515723,0
control_R17,0,control,control,0.40367120292972375,0.7044076078737692,0.18116569262218457,87.85817926066483,2.7555554605802453,0.6676274334947608,0.14476631378188687,0
control_R18,0,control,control,0.5244468822927268,0.7770908479390659,0.43474178797797586,84.58700367688144,2.484946381960799,0.6406563886321901,0.15620593899963567,0
control_R19,0,control,control,0.42923213699101576,0.6955161280376077,0.24296045567918073,89.7969110385444,2.8314097134890686,0.7857228646665181,0.14446519370761282,0
control_R20,0,control,control,0.42568460454633344,0.7178486979672671,0.33839649567899416,85.58623534662799,2.9965479022046115,0.7550633961314763,0.14222584350374462,0
control_R21,0,control,control,0.41373869677321234,0.8051387892974066,0.2089306660387807,88.77320141681355,2.6194145643825943,0.883841571158682,0.16577426449158794,0
control_R22,0,control,control,0.4616963577869047,0.6841943533172509,0.2887849909865157,81.99116045190914,2.505434704509315,0.6987201024049107,0.15929254258334946,0
control_R23,0,control,control,0.5411632309350893,0.6570399117761125,0.36408768728782803,85.05555231973149,2.5444873593496684,0.8461801994813811,0.15663505458935814,0
control_R24,0,control,control,0.5639380571382642,0.701324197211951,0.23335685746013243,76.242765575702,2.9964446593077776,0.9922801724089614,0.1483911499915295,0
control_R25,0,control,control,0.5277447217666706,0.6724474177100681,0.21087065763768126,87.56789507528147,2.704257949671664,0.8042115391497541,0.1564269548050378,0
control_R26,0,control,control,0.5538770750176432,0.7001713089096996,0.32240051800619174,73.42901680872338,2.6696455845869296,0.757612257625599,0.13367708842517584,0
control_R27,0,control,control,0.4332938279649594,0.7566361016942404,0.1836803641130218,85.13784171667488,2.703166113333284,0.7705094215074235,0.17504136737956907,0
control_R28,0,control,control,0.5583945228522943,0.684752540593894,0.2650324103926533,81.08591210042675,2.6990107353256785,0.857416219740991,0.13376827072126182,0
control_R29,0,control,control,0.48503100777206026,0.8041652476157763,0.3721857400822215,79.50703353392727,2.657492799135751,0.6919098110997847,0.1454706928869201,0
control_R30,0,control,control,0.5429168811880253,0.6679997063897262,0.2564417181689465,73.0535053561231,2.6500196953740094,0.737006903076253,0.1442286005550416,0
control_R01,1,control,control,0.4452868722873722,0.6496908643457348,0.17664773773045045,94.58161200412734,2.5425154837451935,0.7012892979390825,0.1875537029248197,0
control_R02,1,control,control,0.5419100696140635,0.5999281609897473,0.44766385881342213,82.24495132595203,2.0608703405151623,0.9284133949205408,0.13554284738764683,0
control_R03,1,control,control,0.4828685537028741,0.678473631334293,0.24326683829875576,80.31087314360748,2.560687615846444,0.8725716473307421,0.1392677659742638,0
